Região,Temperatura,Umidade,Tipo de Solo,Inclinação,Chuva,Vibração,Risco,Nivel de Risco
A,28.50863137595883,78.94858117561294,Arenoso,Forte,Chovendo,0.9897478050658042,9.994693067494332,Alto
D,33.607563529939995,50.74775214993022,Rochoso,Forte,Sem chuva,0.4312569876298811,0.7420485547238522,Baixo
A,29.259259946938965,54.70891783534002,Rochoso,Moderada,Sem chuva,0.6893124786692841,1.8264421602557404,Baixo
C,24.566203342614106,49.80623587079647,Argiloso,Forte,Chovendo,0.3088287613938328,3.667184305648958,Médio
B,26.93546225293181,76.83448541703174,Rochoso,Moderada,Sem chuva,0.48589965693829046,3.19013450379049,Baixo
C,25.40439716157194,69.40676365925792,Argiloso,Forte,Sem chuva,0.6307829339292333,3.4674758029588784,Médio
A,34.2650702757526,44.155564285136926,Argiloso,Moderada,Chovendo,1.1594146885042,3.9135463305412923,Médio
C,19.634519237554457,41.656293538612836,Argiloso,Forte,Chovendo,0.9346178535808264,3.558859731075718,Médio
D,33.82531225494675,53.17596677816905,Arenoso,Moderada,Chovendo,1.1015933346283127,5.4807908610503535,Médio
A,31.781173661594412,57.37738688578643,Arenoso,Forte,Sem chuva,0.2528922333060396,2.0952486959195475,Baixo
B,26.39919522459194,61.937155175869556,Rochoso,Leve,Sem chuva,0.6948771490236589,1.8073023714770657,Baixo
B,29.260909216151315,49.29163749000395,Rochoso,Moderada,Sem chuva,0.46306879516412974,0.6876608839040108,Baixo
B,23.55975666371638,77.96856054863085,Argiloso,Moderada,Sem chuva,0.1115684205416883,3.2128276465987806,Baixo
D,25.66071389897148,75.92802053848445,Rochoso,Forte,Chovendo,0.5378328180746681,6.465164625172701,Alto
B,27.246361743729842,75.55298386605664,Arenoso,Forte,Chovendo,0.5505826737384315,8.928839985006757,Alto
D,31.25209459620259,77.88726661653163,Rochoso,Leve,Chovendo,0.48387250449987496,6.10642984053366,Alto
A,27.35478113434,62.41429629709758,Argiloso,Moderada,Chovendo,0.3754599629453752,4.9459840708992235,Médio
D,34.40348620279302,66.66979928497094,Argiloso,Leve,Sem chuva,0.5251671545536708,2.9721284049241743,Baixo
D,31.937370300434647,60.718547784412976,Rochoso,Forte,Chovendo,0.4416269649839445,5.835028338934337,Alto
B,24.65821050862528,46.61247543885907,Argiloso,Forte,Sem chuva,0.45332450480313646,0.07844990863841078,Baixo
C,27.253402640303168,69.79551105456225,Rochoso,Forte,Chovendo,0.5863144501587816,6.550490595302002,Alto
D,24.567731705607887,50.25502737675019,Arenoso,Moderada,Sem chuva,0.7276689131815682,1.2617112639245969,Baixo
C,24.96088736387738,66.99160357418347,Arenoso,Moderada,Sem chuva,0.26522084906436594,3.652811423304871,Médio
A,21.9517830418626,52.7517030284194,Argiloso,Moderada,Sem chuva,0.4763191469846944,0.7739745055225062,Baixo
D,34.99109897650815,65.6305617406573,Argiloso,Moderada,Chovendo,0.49187890875302387,5.877656864710046,Alto
D,36.520219907724304,43.73393948005989,Argiloso,Leve,Chovendo,0.648270361617563,2.918408335171076,Baixo
C,28.284616893895883,66.62112207198592,Argiloso,Moderada,Chovendo,0.306398275277825,5.737226031700566,Alto
C,20.633431032937565,65.44028353256246,Argiloso,Forte,Chovendo,0.16846603318024514,5.872347485518913,Alto
D,26.589637209684618,65.96268646473224,Rochoso,Moderada,Sem chuva,0.4843540656163338,2.1751733202411057,Baixo
A,26.364384820736856,72.61821844291396,Argiloso,Moderada,Sem chuva,0.5855027856274809,3.3335663359255645,Baixo
D,30.23724068371682,72.71990301127312,Argiloso,Moderada,Sem chuva,0.695029104273746,4.188626562041167,Médio
C,29.89605238945171,67.74504305428879,Rochoso,Forte,Sem chuva,0.5630332635820676,3.0914942756579418,Baixo
B,21.189466526303562,41.932537232883355,Arenoso,Forte,Sem chuva,0.4271905948385492,0.0,Baixo
D,22.766853812837766,54.607069028849615,Rochoso,Moderada,Sem chuva,0.5869349273809373,0.8368786609468912,Baixo
A,29.699326951601126,54.76453023892219,Arenoso,Leve,Sem chuva,0.8224833815801641,2.08410991828015,Baixo
C,28.026674733811383,65.73612108674263,Rochoso,Forte,Sem chuva,0.3007432146370185,2.276718712581396,Baixo
C,26.117266892050868,47.577866028794375,Argiloso,Leve,Sem chuva,0.10742043584481249,0.27939646891611414,Baixo
C,29.922088647328867,77.81568330472533,Argiloso,Leve,Sem chuva,0.6179784419913751,3.8768818086846317,Médio
D,32.26474521100132,52.35713243090843,Argiloso,Moderada,Chovendo,0.8266079378704999,4.470892027878282,Médio
D,32.62527365275584,75.15551696265888,Argiloso,Moderada,Sem chuva,0.3378036368890568,3.3844450138149575,Médio
